Date,rain_statement
2019-01-16 23:48:17.655217,"Hi! There is a 24.3% chance that its raining right now! (So, maybe?)"
2019-01-16 23:49:00.401442,"Hi! There is a 24.3% chance that its raining right now! (So, maybe?)"
2019-01-17 00:48:10.688331,"Hi! There is a 26.2% chance that its raining right now! (So, maybe?)"
2019-01-17 01:04:57.800160,"Hi! There is a 25.5% chance that its raining right now! (So, maybe?)"
2019-01-17 16:21:08.193367,21.7
2019-01-17 17:36:09.538589,18.3
2019-01-17 19:54:48.666955,19.8
2019-01-17 19:55:48.896681,19.8
2019-01-17 20:51:19.432290,20.0
2019-01-17 20:52:20.559191,19.9
2019-01-17 20:58:06.158233,19.5
2019-01-18 02:59:07.650401,20.9
2019-01-18 09:00:08.969386,21.8
2019-01-18 15:01:15.676106,19.1
2019-01-18 21:02:17.220672,18.9
2019-01-19 03:03:18.428774,20.8
2019-01-19 09:04:20.339386,21.9
2019-01-19 15:05:22.065525,20.0
2019-01-19 21:06:23.082687,19.4
2019-01-20 03:07:24.669318,21.8
2019-01-20 09:08:25.309308,22.7
2019-01-20 15:09:26.489331,19.0
2019-01-20 21:10:28.021131,21.1
2019-01-21 03:11:29.350908,23.2
2019-01-21 09:12:30.768571,22.0
2019-01-21 15:13:32.435555,19.4
2019-01-21 21:14:34.008472,19.7
2019-01-22 03:15:35.066703,20.9
2019-01-22 09:16:51.421867,21.9
2019-01-22 15:17:55.308581,19.8
2019-01-22 21:18:57.140539,19.9
2019-01-23 00:24:36.156285,18.7
2019-01-23 00:57:01.790213,20.0
2019-01-23 01:26:28.912498,20.2
2019-01-23 13:46:43.372290,20.0
2019-01-23 16:47:45.307342,20.0
2019-01-23 19:48:47.805849,20.1
2019-01-23 22:49:49.547317,20.5
2019-01-24 01:50:50.819001,20.6
2019-01-24 04:51:52.688529,20.5
2019-01-24 07:52:53.546239,21.9
2019-01-24 10:53:54.517205,21.2
2019-01-24 13:54:56.288395,19.0
2019-01-24 16:55:58.488152,19.0
2019-01-24 19:57:00.713353,19.7
2019-01-24 22:58:02.701936,19.1
2019-01-25 01:59:04.428323,21.1
2019-01-25 05:00:05.645666,20.4
2019-01-25 08:01:07.270745,21.8
2019-01-25 11:02:08.849751,22.6
2019-01-25 14:03:10.396190,19.9
2019-01-25 17:04:12.417591,19.4
2019-01-25 20:05:14.800742,19.0
2019-01-25 23:06:16.847625,20.1
2019-01-26 02:07:18.308705,19.4
2019-01-26 05:08:19.737451,21.1
2019-01-26 08:09:21.138479,22.7
2019-01-26 11:10:22.398329,21.9
2019-01-26 14:11:23.882287,22.3
2019-01-26 17:12:25.775618,19.2
2019-01-26 20:13:27.200228,19.5
2019-01-26 23:14:28.718086,18.6
2019-01-27 02:15:30.464412,20.8
2019-01-27 05:16:32.029446,22.5
2019-01-27 08:17:33.390233,21.8
2019-01-27 11:18:34.781410,23.6
2019-01-27 14:19:36.119071,22.1
2019-01-27 17:20:37.593621,19.9
2019-01-27 20:21:39.277391,21.1
2019-01-27 23:22:41.137273,19.9
2019-01-28 02:23:42.980391,21.8
2019-01-28 05:24:44.279701,22.1
2019-01-28 08:25:45.704378,21.0
2019-01-28 11:26:47.488673,21.0
2019-01-28 14:27:49.405560,19.8
2019-01-28 17:28:52.456849,20.5
2019-01-28 20:30:02.768707,18.7
2019-01-28 23:31:04.729107,20.4
2019-01-29 02:32:07.295557,21.2
2019-01-29 05:33:08.938296,21.8
2019-01-29 08:34:10.774215,21.9
2019-01-29 11:35:13.048389,21.0
2019-01-29 14:36:15.029535,18.9
2019-01-29 17:37:16.984367,19.6
2019-01-29 20:38:19.215984,19.3
2019-01-29 23:39:21.030864,19.3
2019-01-30 02:40:22.680176,20.7
2019-01-30 05:41:24.437050,21.4
2019-01-30 08:42:25.539858,21.9
2019-01-30 11:43:26.573440,20.7
2019-01-30 14:44:28.130514,18.5
2019-01-30 17:45:30.771702,18.9
2019-01-30 20:46:33.087372,19.4
2019-01-30 23:47:34.838565,20.0
2019-01-31 15:36:17.691414,19.6
2019-01-31 15:48:31.990503,20.4
2019-02-20 03:51:13.589472,57.3
